date,variation
19/11/2021,0.63
18/11/2021,-0.60
17/11/2021,-1.11
16/11/2021,-1.73
12/11/2021,-1.37
11/11/2021,1.50
10/11/2021,0.62
09/11/2021,0.56
08/11/2021,0.02
05/11/2021,1.16
04/11/2021,-2.30
03/11/2021,0.47
01/11/2021,1.85
29/10/2021,-0.92
28/10/2021,-1.75
27/10/2021,0.15
26/10/2021,-2.20
25/10/2021,2.17
22/10/2021,-1.27
21/10/2021,-2.58
20/10/2021,-0.37
19/10/2021,-2.86
18/10/2021,-0.24
15/10/2021,1.15
14/10/2021,-0.25
13/10/2021,1.38
11/10/2021,-0.59
08/10/2021,1.85
07/10/2021,0.05
06/10/2021,0.24
05/10/2021,-0.06
04/10/2021,-2.13
01/10/2021,1.88
30/09/2021,-0.32
29/09/2021,0.94
28/09/2021,-2.81
27/09/2021,-0.13
24/09/2021,-0.52
23/09/2021,1.49
22/09/2021,2.10
21/09/2021,0.95
20/09/2021,-2.21
17/09/2021,-2.10
16/09/2021,-1.12
15/09/2021,-0.91
14/09/2021,-0.37
13/09/2021,2.04
10/09/2021,-1.46
09/09/2021,2.23
08/09/2021,-3.88
06/09/2021,1.24
03/09/2021,-0.05
02/09/2021,-2.31
01/09/2021,0.63
31/08/2021,-0.87
30/08/2021,-0.95
27/08/2021,1.85
26/08/2021,-1.78
25/08/2021,0.44
24/08/2021,2.28
23/08/2021,-0.53
20/08/2021,0.71
19/08/2021,0.70
18/08/2021,-1.14
17/08/2021,-1.12
16/08/2021,-1.66
13/08/2021,0.60
12/08/2021,-1.19
11/08/2021,-0.26
10/08/2021,-0.48
09/08/2021,-0.08
06/08/2021,1.12
05/08/2021,-0.03
04/08/2021,-1.49
03/08/2021,0.96
02/08/2021,0.42
30/07/2021,-3.00
29/07/2021,-0.59
28/07/2021,1.41
27/07/2021,-1.19
26/07/2021,0.83
23/07/2021,-1.01
22/07/2021,0.26
21/07/2021,0.43
20/07/2021,0.72
19/07/2021,-1.16
16/07/2021,-1.34
15/07/2021,-0.54
14/07/2021,0.12
13/07/2021,0.44
12/07/2021,1.76
08/07/2021,-1.32
07/07/2021,1.65
06/07/2021,-1.37
05/07/2021,-0.66
02/07/2021,1.70
01/07/2021,-0.89
30/06/2021,-0.41
29/06/2021,-0.11
28/06/2021,-0.04
25/06/2021,-1.63
24/06/2021,0.80
23/06/2021,-0.23
22/06/2021,-0.33
21/06/2021,0.78
18/06/2021,0.15
17/06/2021,-0.91
16/06/2021,-0.77
15/06/2021,0.02
14/06/2021,0.54
11/06/2021,-0.42
10/06/2021,0.10
09/06/2021,0.14
08/06/2021,-0.83
07/06/2021,0.56
04/06/2021,0.30
02/06/2021,1.09
01/06/2021,1.72
31/05/2021,0.44
28/05/2021,0.94
27/05/2021,0.29
26/05/2021,0.71
25/05/2021,-0.72
24/05/2021,1.06
21/05/2021,0.08
20/05/2021,-0.08
19/05/2021,-0.15
18/05/2021,-0.10
17/05/2021,0.91
14/05/2021,1.03
13/05/2021,0.67
12/05/2021,-2.42
11/05/2021,0.85
10/05/2021,-0.27
07/05/2021,1.76
06/05/2021,0.24
05/05/2021,1.66
04/05/2021,-1.23
03/05/2021,0.24
30/04/2021,-0.80
29/04/2021,-0.93
28/04/2021,1.41
27/04/2021,-1.01
26/04/2021,-0.02
23/04/2021,0.89
22/04/2021,-0.46
20/04/2021,-0.74
19/04/2021,-0.10
16/04/2021,0.22
15/04/2021,0.52
14/04/2021,0.81
13/04/2021,0.24
12/04/2021,1.23
09/04/2021,-0.65
08/04/2021,0.50
07/04/2021,-0.08
06/04/2021,0.05
05/04/2021,2.29
01/04/2021,-1.20
31/03/2021,-0.36
30/03/2021,1.32
29/03/2021,0.62
26/03/2021,0.82
25/03/2021,1.40
24/03/2021,-1.05
23/03/2021,-1.51
22/03/2021,-0.90
19/03/2021,1.09
18/03/2021,-1.38
17/03/2021,2.15
16/03/2021,-0.88
15/03/2021,0.89
12/03/2021,-0.70
11/03/2021,1.68
10/03/2021,1.34
09/03/2021,1.75
08/03/2021,-5.03
05/03/2021,2.17
04/03/2021,1.32
03/03/2021,-0.32
02/03/2021,1.47
01/03/2021,0.33
26/02/2021,-1.80
25/02/2021,-3.53
24/02/2021,0.63
23/02/2021,2.32
22/02/2021,-4.89
19/02/2021,-0.69
18/02/2021,-1.08
17/02/2021,0.70
12/02/2021,0.13
11/02/2021,0.86
10/02/2021,-0.86
09/02/2021,-0.23
08/02/2021,-0.55
05/02/2021,1.05
04/02/2021,-0.55
03/02/2021,1.23
02/02/2021,0.70
01/02/2021,2.26
29/01/2021,-3.45
28/01/2021,3.20
27/01/2021,-1.00
26/01/2021,-0.97
22/01/2021,-0.55
21/01/2021,-1.24
20/01/2021,-0.66
19/01/2021,-0.46
18/01/2021,0.66
15/01/2021,-2.44
14/01/2021,1.12
13/01/2021,-1.75
12/01/2021,0.70
11/01/2021,-1.48
08/01/2021,1.71
07/01/2021,3.33
06/01/2021,-0.12
05/01/2021,0.53
04/01/2021,-0.49
30/12/2020,-0.28
