date,variation
02/03/2018,0.52
01/03/2018,0.02
28/02/2018,-1.89
27/02/2018,-0.74
26/02/2018,0.51
23/02/2018,0.64
22/02/2018,0.86
21/02/2018,0.12
20/02/2018,1.32
19/02/2018,0.37
16/02/2018,0.20
15/02/2018,0.99
14/02/2018,3.11
09/02/2018,-0.67
08/02/2018,-1.58
07/02/2018,-1.47
06/02/2018,2.46
05/02/2018,-2.51
02/02/2018,-1.59
01/02/2018,0.67
31/01/2018,0.48
30/01/2018,-0.21
29/01/2018,-1.05
26/01/2018,2.25
24/01/2018,3.89
23/01/2018,-1.32
22/01/2018,0.54
19/01/2018,0.41
18/01/2018,-0.40
17/01/2018,1.75
16/01/2018,-0.01
15/01/2018,0.52
12/01/2018,0.01
11/01/2018,1.40
10/01/2018,-0.74
09/01/2018,-0.78
08/01/2018,0.42
05/01/2018,0.58
04/01/2018,0.93
03/01/2018,0.27
02/01/2018,1.73
28/12/2017,0.23
27/12/2017,0.55
26/12/2017,0.76
22/12/2017,0.22
21/12/2017,2.31
20/12/2017,1.04
19/12/2017,-0.71
18/12/2017,1.03
15/12/2017,-0.07
14/12/2017,-0.54
13/12/2017,-1.43
12/12/2017,1.36
11/12/2017,0.46
08/12/2017,0.17
07/12/2017,-4.08
06/12/2017,4.26
05/12/2017,-0.75
04/12/2017,1.23
01/12/2017,0.39
30/11/2017,-1.21
29/11/2017,-2.24
28/11/2017,0.38
27/11/2017,-0.06
24/11/2017,-0.42
23/11/2017,0.04
22/11/2017,-0.14
21/11/2017,1.54
17/11/2017,1.05
16/11/2017,2.50
14/11/2017,-2.87
13/11/2017,0.73
10/11/2017,-0.75
09/11/2017,-1.99
08/11/2017,2.80
07/11/2017,-2.54
06/11/2017,0.69
03/11/2017,0.04
01/11/2017,-0.70
31/10/2017,-0.80
30/10/2017,-1.39
27/10/2017,0.44
26/10/2017,-1.30
25/10/2017,0.20
24/10/2017,1.28
23/10/2017,-0.91
20/10/2017,-0.26
19/10/2017,-0.40
18/10/2017,0.52
17/10/2017,-0.85
16/10/2017,-0.15
13/10/2017,0.43
11/10/2017,-0.15
10/10/2017,1.41
09/10/2017,-0.41
06/10/2017,-0.72
05/10/2017,0.03
04/10/2017,-0.19
03/10/2017,3.26
02/10/2017,0.34
29/09/2017,0.70
28/09/2017,-0.36
27/09/2017,-0.71
26/09/2017,-0.07
25/09/2017,-1.26
22/09/2017,-0.34
21/09/2017,-0.53
20/09/2017,0.01
19/09/2017,-0.07
18/09/2017,0.49
15/09/2017,1.63
14/09/2017,-0.42
13/09/2017,0.24
12/09/2017,0.24
11/09/2017,1.73
08/09/2017,-0.34
06/09/2017,1.71
05/09/2017,-0.11
04/09/2017,0.47
01/09/2017,1.61
31/08/2017,-0.18
30/08/2017,-0.65
29/08/2017,0.38
28/08/2017,0.10
25/08/2017,-0.28
24/08/2017,0.94
23/08/2017,0.62
22/08/2017,2.00
21/08/2017,-0.03
18/08/2017,1.02
17/08/2017,-0.93
16/08/2017,0.51
15/08/2017,0.09
14/08/2017,1.41
11/08/2017,0.57
10/08/2017,-1.08
09/08/2017,-0.34
08/08/2017,0.05
07/08/2017,1.42
04/08/2017,0.40
03/08/2017,-0.72
02/08/2017,1.07
01/08/2017,0.80
31/07/2017,0.52
28/07/2017,0.54
27/07/2017,0.38
26/07/2017,-1.06
25/07/2017,0.87
24/07/2017,0.64
21/07/2017,-0.35
20/07/2017,-0.54
19/07/2017,-0.05
18/07/2017,0.10
17/07/2017,-0.44
14/07/2017,0.22
13/07/2017,0.80
12/07/2017,1.62
11/07/2017,1.25
10/07/2017,0.73
07/07/2017,0.13
06/07/2017,-1.03
05/07/2017,-0.16
04/07/2017,0.10
03/07/2017,0.26
30/06/2017,1.38
29/06/2017,0.25
28/06/2017,0.33
27/06/2017,-0.85
26/06/2017,1.96
23/06/2017,-0.42
22/06/2017,0.97
21/06/2017,0.07
20/06/2017,-2.25
19/06/2017,0.81
16/06/2017,-0.47
14/06/2017,0.12
13/06/2017,0.28
12/06/2017,-0.95
09/06/2017,-0.81
08/06/2017,-0.78
07/06/2017,0.39
06/06/2017,0.83
05/06/2017,0.17
02/06/2017,0.15
01/06/2017,-0.50
31/05/2017,-2.16
30/05/2017,0.26
29/05/2017,-0.34
26/05/2017,1.08
25/05/2017,0.20
24/05/2017,0.71
23/05/2017,2.03
22/05/2017,-1.78
19/05/2017,1.58
18/05/2017,-8.66
17/05/2017,-1.69
16/05/2017,0.27
15/05/2017,0.50
12/05/2017,0.90
11/05/2017,0.23
10/05/2017,1.61
09/05/2017,1.18
08/05/2017,-0.38
05/05/2017,1.60
04/05/2017,-2.03
03/05/2017,-0.93
02/05/2017,2.17
28/04/2017,1.17
27/04/2017,-0.54
26/04/2017,-0.32
25/04/2017,1.14
24/04/2017,1.27
20/04/2017,0.51
19/04/2017,-1.21
18/04/2017,-0.48
17/04/2017,2.38
13/04/2017,-1.43
12/04/2017,-1.19
11/04/2017,-0.19
10/04/2017,0.43
07/04/2017,0.44
06/04/2017,-0.90
05/04/2017,-1.82
04/04/2017,1.01
03/04/2017,0.48
31/03/2017,-0.59
30/03/2017,-0.52
29/03/2017,1.57
28/03/2017,0.35
27/03/2017,0.65
24/03/2017,0.55
23/03/2017,0.28
22/03/2017,0.64
21/03/2017,-2.91
20/03/2017,0.96
17/03/2017,-1.91
16/03/2017,-1.08
15/03/2017,2.17
14/03/2017,-1.13
13/03/2017,1.47
10/03/2017,0.29
09/03/2017,-0.42
08/03/2017,-1.86
07/03/2017,-0.59
06/03/2017,-0.62
03/03/2017,1.73
02/03/2017,-2.05
01/03/2017,0.51
24/02/2017,-1.26
23/02/2017,-1.74
22/02/2017,-0.61
21/02/2017,0.81
20/02/2017,1.42
17/02/2017,-0.27
16/02/2017,-0.38
15/02/2017,1.23
14/02/2017,0.57
13/02/2017,1.08
10/02/2017,1.85
09/02/2017,-0.06
08/02/2017,1.39
07/02/2017,0.00
06/02/2017,-1.71
03/02/2017,0.70
02/02/2017,-0.10
01/02/2017,0.51
31/01/2017,0.21
30/01/2017,-2.73
27/01/2017,-0.30
26/01/2017,0.45
24/01/2017,0.17
23/01/2017,1.97
20/01/2017,0.76
19/01/2017,0.32
18/01/2017,-0.61
17/01/2017,0.61
16/01/2017,0.36
13/01/2017,-0.52
12/01/2017,2.53
11/01/2017,0.37
10/01/2017,0.85
09/01/2017,-0.18
06/01/2017,-0.33
05/01/2017,0.50
04/01/2017,0.00
03/01/2017,3.68
02/01/2017,-1.05
